Symbol,Strategy,Pair,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Total_Profit_$,Gross_Profit_$,Gross_Loss_$,Profit_Factor,Avg_Profit_Per_Trade_$,Expectancy_$
USDCNH,TB_15M_1M,USDCNH_TB_15M_1M,5,0,5,0.0,-48.400883805490835,0.0,48.400883805490835,0.0,-9.680176761098167,-9.680176761098167
HD,TB_15M_1M,HD_TB_15M_1M,2,0,2,0.0,-48.899999999999295,0.0,48.899999999999295,0.0,-24.449999999999648,-24.449999999999648
GBPAUD,TB_15M_1M,GBPAUD_TB_15M_1M,4,1,3,25.0,-49.01400000000186,39.537959999997824,88.55195999999968,0.44649446494462647,-12.253500000000464,-12.253500000000464
GBPCHF,TB_4H_5M,GBPCHF_TB_4H_5M,3,0,3,0.0,-49.11529500661186,0.0,49.11529500661186,0.0,-16.371765002203954,-16.371765002203954
JPM,TB_15M_1M,JPM_TB_15M_1M,3,0,3,0.0,-52.800000000000864,0.0,52.800000000000864,0.0,-17.60000000000029,-17.60000000000029
USDZAR,FB_4H_5M,USDZAR_FB_4H_5M,4,1,3,25.0,-67.17461364509548,36.05218883276884,103.22680247786433,0.3492522093813743,-16.79365341127387,-16.79365341127387
US30_x10,FB_15M_1M,US30_x10_FB_15M_1M,1,0,1,0.0,-69.60000000000583,0.0,69.60000000000583,0.0,-69.60000000000583,-69.60000000000583
GBPJPY,TB_15M_1M,GBPJPY_TB_15M_1M,6,2,4,33.33333333333333,-72.85998071734295,16.82379661323974,89.6837773305827,0.18759018759017776,-12.143330119557158,-12.143330119557158
USDZAR,TB_4H_5M,USDZAR_TB_4H_5M,2,0,2,0.0,-73.68915352501776,0.0,73.68915352501776,0.0,-36.84457676250888,-36.84457676250888
USDZAR,FB_15M_1M,USDZAR_FB_15M_1M,2,0,2,0.0,-77.38501456999836,0.0,77.38501456999836,0.0,-38.69250728499918,-38.69250728499918
US500_x100,TB_4H_5M,US500_x100_TB_4H_5M,2,1,1,50.0,-81.800000000012,101.19999999998981,183.00000000000182,0.5530054644808131,-40.900000000006,-40.900000000006
GBPCHF,FB_4H_5M,GBPCHF_FB_4H_5M,4,0,4,0.0,-95.08217366664499,0.0,95.08217366664499,0.0,-23.770543416661248,-23.770543416661248
XAGUSD,TB_15M_1M,XAGUSD_TB_15M_1M,7,2,5,28.57142857142857,-101.00000000000975,414.9999999999992,516.0000000000089,0.8042635658914575,-14.428571428572821,-14.428571428572821
BTCUSD,FB_4H_5M,BTCUSD_FB_4H_5M,2,0,2,0.0,-104.42500000000146,0.0,104.42500000000146,0.0,-52.21250000000073,-52.21250000000073
XAUUSD,TB_4H_5M,XAUUSD_TB_4H_5M,2,0,2,0.0,-105.27000000000044,0.0,105.27000000000044,0.0,-52.63500000000022,-52.63500000000022
US500_x100,FB_4H_5M,US500_x100_FB_4H_5M,2,1,1,50.0,-143.8000000000011,23.80000000000109,167.60000000000218,0.1420047732696944,-71.90000000000055,-71.90000000000055
BTCJPY,FB_4H_5M,BTCJPY_FB_4H_5M,2,0,2,0.0,-167.39354095623872,0.0,167.39354095623872,0.0,-83.69677047811936,-83.69677047811936
